DSS File:	C:\Users\B4EDHDRJ\Documents\Hydraulics Branch\Flood Freq. Analysis\POR_Stages.dss
DSS Path:	/MISSISSIPPI RIVER/GREENVILLE/STAGE/01JAN1882/1DAY/OBS
Season Start:	1Mar
Season Stop:	27Nov
Start Year:	1882
Stop Year:	2016
Date	Jul 20, 2016	2:44:25 PM


Duration	Median Stage	Mean Stage	Std Dev	Mean Diff	
--------	------------	----------	-------	---------	
2.5%	36.70	37.00	6.89	0.67
5.0%	35.20	35.49	7.26	1.98
7.5%	33.70	33.93	7.73	3.32
10.0%	32.00	32.16	7.95	5.06
12.5%	30.28	30.34	8.08	6.77


Duration:	2.5%
Days:	7

Rank	Value	Window Start	Window Stop
89	32.30	May 14, 1958	May 27, 1958
90	32.30	May 31, 1957	Jun 13, 1957
91	32.00	Apr 29, 1947	May 12, 1947
92	31.70	May 3, 1972	May 16, 1972
93	31.50	Mar 18, 1900	Mar 31, 1900
94	31.40	Mar 30, 1955	Apr 12, 1955
95	31.40	Apr 3, 1949	Apr 16, 1949
96	31.40	Apr 17, 1942	Apr 30, 1942
97	31.40	Apr 10, 1896	Apr 23, 1896
98	31.30	Mar 4, 1951	Mar 17, 1951
99	31.20	Mar 28, 1982	Apr 10, 1982
100	31.20	Mar 5, 1971	Mar 18, 1971
101	31.20	Mar 4, 1889	Mar 17, 1889
102	31.00	Mar 24, 1964	Apr 6, 1964
103	30.90	Apr 25, 1969	May 8, 1969
104	30.80	Mar 3, 1918	Mar 16, 1918
105	30.10	May 6, 1999	May 19, 1999
106	29.90	Apr 15, 1960	Apr 28, 1960
107	29.40	Apr 6, 1968	Apr 19, 1968
108	28.86	Mar 2, 2001	Mar 15, 2001
109	28.84	Jun 6, 2004	Jun 19, 2004
110	28.70	Mar 28, 1946	Apr 10, 1946
111	28.70	Apr 4, 1934	Apr 17, 1934
112	27.90	May 8, 1966	May 21, 1966
113	27.60	Oct 12, 1986	Oct 25, 1986
114	27.40	May 1, 1940	May 14, 1940
115	27.00	May 21, 1967	Jun 3, 1967
116	27.00	Mar 3, 1925	Mar 16, 1925
117	26.80	Jun 10, 1981	Jun 23, 1981
118	26.75	Apr 11, 2014	Apr 24, 2014
119	26.43	Apr 9, 2005	Apr 22, 2005
120	26.40	Mar 5, 1987	Mar 18, 1987
121	26.30	Mar 1, 1956	Mar 14, 1956
122	26.22	Mar 13, 2012	Mar 26, 2012
123	26.03	Apr 1, 2007	Apr 14, 2007
124	25.50	May 20, 1953	Jun 2, 1953
125	25.30	Mar 2, 1976	Mar 15, 1976
126	24.60	Apr 9, 1988	Apr 22, 1988
127	24.51	Mar 20, 1992	Apr 2, 1992
128	23.60	Apr 11, 1931	Apr 24, 1931
129	23.20	Mar 25, 1895	Apr 7, 1895
130	22.70	Apr 10, 1977	Apr 23, 1977
131	22.20	Feb 28, 1959	Mar 13, 1959
132	21.70	Jun 26, 2000	Jul 9, 2000
133	21.40	Nov 6, 1941	Nov 19, 1941
134	19.46	Apr 27, 2006	May 10, 2006
135	17.60	May 6, 1954	May 19, 1954

Duration:	7.5%
Days:	20

Rank	Value	Window Start	Window Stop
1	51.50	Apr 19, 1922	May 8, 1922
2	50.20	May 21, 1929	Jun 9, 1929
3	48.91	May 8, 2011	May 27, 2011
4	48.30	Apr 5, 1927	Apr 24, 1927
5	48.10	Apr 13, 1913	May 2, 1913
6	46.80	Apr 5, 1912	Apr 24, 1912
7	46.00	May 1, 1973	May 20, 1973
8	45.40	Mar 16, 1903	Apr 4, 1903
9	45.20	Apr 8, 1920	Apr 27, 1920
10	44.60	Mar 25, 1897	Apr 13, 1897
11	44.52	Apr 8, 2008	Apr 27, 2008
12	44.30	Apr 1, 1935	Apr 20, 1935
13	43.98	Mar 16, 1887	Apr 4, 1887
14	43.70	May 12, 1893	May 31, 1893
15	43.70	May 12, 1892	May 31, 1892
16	43.60	Jun 30, 1928	Jul 19, 1928
17	43.50	Apr 14, 1933	May 3, 1933
18	43.50	Apr 8, 1917	Apr 27, 1917
19	43.30	May 19, 1983	Jun 7, 1983
20	43.30	May 25, 1908	Jun 13, 1908
21	42.80	Mar 12, 1890	Mar 31, 1890
22	42.60	Mar 22, 1891	Apr 10, 1891
23	42.40	Apr 9, 1898	Apr 28, 1898
24	41.80	Mar 17, 1909	Apr 5, 1909
25	41.70	Apr 2, 1945	Apr 21, 1945
26	41.68	Apr 15, 1888	May 4, 1888
27	41.50	Apr 6, 1899	Apr 25, 1899
28	41.40	Apr 13, 1906	May 2, 1906
29	41.30	Apr 14, 1979	May 3, 1979
30	41.20	Mar 15, 1997	Apr 3, 1997
31	41.20	Feb 28, 1882	Mar 19, 1882
32	40.15	Mar 5, 1884	Mar 24, 1884
33	40.00	Apr 1, 1975	Apr 20, 1975
34	39.80	Apr 12, 1904	May 1, 1904
35	39.75	Mar 2, 1883	Mar 21, 1883
36	39.60	Apr 23, 1886	May 12, 1886
37	39.20	Jun 1, 1995	Jun 20, 1995
38	39.20	Apr 22, 1994	May 11, 1994
39	39.17	May 14, 2009	Jun 2, 2009
40	38.90	May 12, 1984	May 31, 1984
41	38.60	Mar 26, 1907	Apr 14, 1907
42	38.36	Jul 12, 2015	Jul 31, 2015
43	38.00	Mar 26, 1923	Apr 14, 1923
44	38.00	Apr 24, 1911	May 13, 1911
45	37.30	May 29, 1943	Jun 17, 1943
46	37.20	Mar 7, 1939	Mar 26, 1939
47	37.20	Apr 13, 1916	May 2, 1916
48	37.00	May 2, 1944	May 21, 1944
49	36.80	Apr 14, 1936	May 3, 1936
50	36.65	May 2, 1998	May 21, 1998
51	36.58	May 20, 2002	Jun 8, 2002
52	36.50	Apr 2, 1962	Apr 21, 1962
53	36.40	Mar 27, 1919	Apr 15, 1919
54	36.30	May 23, 1996	Jun 11, 1996
55	36.10	Apr 14, 1993	May 3, 1993
56	35.90	May 16, 1961	Jun 4, 1961
57	35.83	May 8, 2013	May 27, 2013
58	35.63	May 14, 2010	Jun 2, 2010
59	35.50	Apr 28, 1901	May 17, 1901
60	35.13	May 27, 1990	Jun 15, 1990
61	35.10	Apr 13, 1938	May 2, 1938
62	35.00	Mar 8, 1985	Mar 27, 1985
63	35.00	Jun 11, 1915	Jun 30, 1915
64	34.80	Apr 6, 1921	Apr 25, 1921
65	34.40	Apr 6, 1948	Apr 25, 1948
66	34.00	Mar 21, 1902	Apr 9, 1902
67	33.90	Mar 30, 1952	Apr 18, 1952
68	33.70	Mar 3, 1989	Mar 22, 1989
69	33.60	Mar 10, 1910	Mar 29, 1910
70	33.55	Apr 28, 1885	May 17, 1885
71	33.30	Apr 12, 1914	May 1, 1914
72	32.60	Apr 2, 1980	Apr 21, 1980
73	32.40	May 3, 1970	May 22, 1970
74	32.40	Mar 8, 1930	Mar 27, 1930
75	32.30	Apr 12, 1965	May 1, 1965
76	32.20	Mar 28, 1978	Apr 16, 1978
77	32.20	Jun 5, 1924	Jun 24, 1924
78	32.09	May 17, 2003	Jun 5, 2003
79	32.00	May 24, 1905	Jun 12, 1905
80	31.90	Mar 17, 1894	Apr 5, 1894
81	31.80	Apr 7, 1991	Apr 26, 1991
82	31.70	Mar 24, 1963	Apr 12, 1963
83	31.68	Mar 7, 2016	Mar 26, 2016
84	31.30	Apr 24, 1947	May 13, 1947
85	30.80	Apr 14, 1926	May 3, 1926
86	30.60	Jun 8, 1974	Jun 27, 1974
87	30.60	May 10, 1958	May 29, 1958
88	30.50	Feb 28, 1950	Mar 19, 1950
89	30.40	Apr 30, 1972	May 19, 1972
90	30.40	Mar 1, 1951	Mar 20, 1951
91	30.40	Mar 17, 1900	Apr 5, 1900
92	30.20	Mar 30, 1949	Apr 18, 1949
93	30.10	Apr 7, 1932	Apr 26, 1932
94	29.90	Mar 25, 1955	Apr 13, 1955
95	29.70	May 29, 1957	Jun 17, 1957
96	29.50	Apr 21, 1969	May 10, 1969
97	29.40	Mar 21, 1964	Apr 9, 1964
98	29.40	Apr 5, 1896	Apr 24, 1896
99	29.38	Jun 21, 1889	Jul 10, 1889
100	29.30	Mar 24, 1982	Apr 12, 1982
101	29.20	Mar 2, 1971	Mar 21, 1971
102	29.20	May 11, 1937	May 30, 1937
103	28.80	May 2, 1999	May 21, 1999
104	28.50	Apr 1, 1968	Apr 20, 1968
105	28.20	Apr 11, 1960	Apr 30, 1960
106	28.20	Apr 14, 1942	May 3, 1942
107	27.80	May 19, 1918	Jun 7, 1918
108	27.75	Jun 5, 2004	Jun 24, 2004
109	27.10	May 7, 1966	May 26, 1966
110	27.10	Mar 17, 1946	Apr 5, 1946
111	26.22	Mar 13, 2012	Apr 1, 2012
112	25.80	Mar 31, 1934	Apr 19, 1934
113	25.60	Jun 7, 1981	Jun 26, 1981
114	24.80	Apr 27, 1940	May 16, 1940
115	24.40	Oct 10, 1986	Oct 29, 1986
116	24.30	May 17, 1967	Jun 5, 1967
117	24.12	Mar 28, 2007	Apr 16, 2007
118	24.10	Mar 1, 1956	Mar 20, 1956
119	24.00	Mar 21, 1953	Apr 9, 1953
120	23.70	Mar 4, 1987	Mar 23, 1987
121	23.36	Apr 5, 2005	Apr 24, 2005
122	23.00	Mar 2, 1976	Mar 21, 1976
123	22.94	May 4, 2014	May 23, 2014
124	22.60	Apr 6, 1988	Apr 25, 1988
125	22.51	Mar 2, 2001	Mar 21, 2001
126	22.20	Apr 4, 1977	Apr 23, 1977
127	22.20	Mar 16, 1895	Apr 4, 1895
128	21.91	Mar 17, 1992	Apr 5, 1992
129	21.30	Mar 22, 1925	Apr 10, 1925
130	20.60	Apr 8, 1931	Apr 27, 1931
131	20.50	Feb 28, 1959	Mar 19, 1959
132	19.46	Apr 27, 2006	May 16, 2006
133	19.00	Nov 1, 1941	Nov 20, 1941
134	17.90	Jun 24, 2000	Jul 13, 2000
135	15.50	May 5, 1954	May 24, 1954

Duration:	10.0%
Days:	27

Rank	Value	Window Start	Window Stop
1	50.80	Apr 15, 1922	May 11, 1922
2	48.10	May 18, 1929	Jun 13, 1929
3	46.80	Apr 1, 1927	Apr 27, 1927
4	45.80	Apr 4, 1912	Apr 30, 1912
5	45.39	May 5, 2011	May 31, 2011
6	45.00	Apr 27, 1973	May 23, 1973
7	44.90	Apr 10, 1913	May 6, 1913
8	44.30	Apr 6, 1920	May 2, 1920
9	44.20	Mar 24, 1897	Apr 19, 1897
10	44.00	Mar 13, 1903	Apr 8, 1903
11	43.70	May 12, 1892	Jun 7, 1892
12	43.50	Mar 31, 1935	Apr 26, 1935
13	43.50	May 11, 1893	Jun 6, 1893
14	43.48	Mar 11, 1887	Apr 6, 1887
15	43.00	Apr 3, 2008	Apr 29, 2008
16	42.50	May 23, 1908	Jun 18, 1908
17	42.50	Mar 9, 1890	Apr 4, 1890
18	42.20	Mar 19, 1891	Apr 14, 1891
19	42.00	Apr 12, 1933	May 8, 1933
20	41.70	Apr 2, 1945	Apr 28, 1945
21	41.40	Apr 3, 1917	Apr 29, 1917
22	41.10	May 15, 1983	Jun 10, 1983
23	40.97	Feb 28, 1882	Mar 26, 1882
24	40.80	Jun 26, 1928	Jul 22, 1928
25	40.50	Apr 1, 1899	Apr 27, 1899
26	39.90	Apr 5, 1898	May 1, 1898
27	39.82	Apr 10, 1888	May 6, 1888
28	39.60	Apr 11, 1979	May 7, 1979
29	39.42	Mar 5, 1884	Mar 31, 1884
30	39.40	Mar 12, 1997	Apr 7, 1997
31	39.10	Mar 12, 1909	Apr 7, 1909
32	38.70	Apr 9, 1906	May 5, 1906
33	38.58	Apr 19, 1886	May 15, 1886
34	38.30	Apr 10, 1904	May 6, 1904
35	38.25	Mar 2, 1883	Mar 28, 1883
36	37.30	Apr 18, 1994	May 14, 1994
37	37.30	May 8, 1984	Jun 3, 1984
38	37.20	Mar 7, 1939	Apr 2, 1939
39	37.10	Mar 26, 1975	Apr 21, 1975
40	37.06	Jul 6, 2015	Aug 1, 2015
41	36.90	Mar 20, 1907	Apr 15, 1907
42	36.60	May 29, 1995	Jun 24, 1995
43	36.30	Mar 30, 1962	Apr 25, 1962
44	36.10	Apr 14, 1993	May 10, 1993
45	35.60	May 21, 1996	Jun 16, 1996
46	35.54	May 10, 2009	Jun 5, 2009
47	35.50	Apr 27, 1944	May 23, 1944
48	35.40	Mar 23, 1923	Apr 18, 1923
49	35.40	Apr 21, 1911	May 17, 1911
50	35.00	Jun 11, 1915	Jul 7, 1915
51	34.80	Apr 6, 1921	May 2, 1921
52	34.80	Apr 9, 1916	May 5, 1916
53	34.70	May 25, 1943	Jun 20, 1943
54	34.50	Apr 21, 1901	May 17, 1901
55	34.37	Apr 28, 1998	May 24, 1998
56	34.16	May 2, 2013	May 28, 2013
57	34.00	May 20, 1919	Jun 15, 1919
58	34.00	Mar 21, 1902	Apr 16, 1902
59	33.80	Apr 8, 1938	May 4, 1938
60	33.70	Apr 5, 1948	May 1, 1948
61	33.50	Apr 9, 1936	May 5, 1936
62	33.44	May 14, 2002	Jun 9, 2002
63	32.80	Mar 25, 1952	Apr 20, 1952
64	32.24	May 24, 1990	Jun 19, 1990
65	32.20	Mar 4, 1985	Mar 30, 1985
66	32.20	Jun 5, 1924	Jul 1, 1924
67	32.19	May 10, 2010	Jun 5, 2010
68	32.00	Apr 1, 1980	Apr 27, 1980
69	32.00	May 11, 1961	Jun 6, 1961
70	32.00	Mar 8, 1930	Apr 3, 1930
71	31.80	Apr 7, 1991	May 3, 1991
72	31.40	Apr 9, 1914	May 5, 1914
73	31.40	Mar 18, 1905	Apr 13, 1905
74	30.90	Apr 30, 1970	May 26, 1970
75	30.80	Mar 5, 1910	Mar 31, 1910
76	30.60	Apr 20, 1947	May 16, 1947
77	30.50	Feb 28, 1950	Mar 26, 1950
78	30.35	Apr 18, 1885	May 14, 1885
79	30.30	Apr 10, 1951	May 6, 1951
80	30.20	Mar 14, 1894	Apr 9, 1894
81	29.87	Mar 2, 2016	Mar 28, 2016
82	29.60	Jun 1, 1974	Jun 27, 1974
83	29.50	Apr 8, 1965	May 4, 1965
84	29.50	Mar 25, 1949	Apr 20, 1949
85	29.10	Mar 25, 1978	Apr 20, 1978
86	28.80	Mar 3, 1989	Mar 29, 1989
87	28.50	Mar 19, 1963	Apr 14, 1963
88	28.30	Apr 26, 1972	May 22, 1972
89	28.30	Apr 8, 1926	May 4, 1926
90	28.20	Mar 18, 1964	Apr 13, 1964
91	27.71	Jun 5, 2004	Jul 1, 2004
92	27.60	May 27, 1957	Jun 22, 1957
93	27.30	Apr 16, 1969	May 12, 1969
94	27.30	May 18, 1918	Jun 13, 1918
95	27.20	Mar 21, 1955	Apr 16, 1955
96	27.10	Mar 17, 1946	Apr 12, 1946
97	27.00	Mar 14, 1900	Apr 9, 1900
98	26.95	Jun 16, 1889	Jul 12, 1889
99	26.80	Apr 28, 1999	May 24, 1999
100	26.80	Mar 2, 1971	Mar 28, 1971
101	26.80	Apr 3, 1932	Apr 29, 1932
102	26.80	Mar 31, 1896	Apr 26, 1896
103	26.70	Mar 27, 1968	Apr 22, 1968
104	26.60	Mar 21, 1982	Apr 16, 1982
105	26.40	May 5, 1958	May 31, 1958
106	26.28	May 12, 2003	Jun 7, 2003
107	25.60	May 4, 1966	May 30, 1966
108	25.50	May 27, 1981	Jun 22, 1981
109	25.30	May 11, 1937	Jun 6, 1937
110	25.00	Mar 15, 1934	Apr 10, 1934
111	24.80	Mar 21, 1942	Apr 16, 1942
112	24.20	Apr 6, 1960	May 2, 1960
113	23.90	Mar 1, 1956	Mar 27, 1956
114	23.53	Mar 28, 2007	Apr 23, 2007
115	23.30	Mar 20, 1953	Apr 15, 1953
116	22.94	May 4, 2014	May 30, 2014
117	22.60	Apr 7, 1987	May 3, 1987
118	22.58	Mar 11, 2012	Apr 6, 2012
119	22.50	Oct 8, 1986	Nov 3, 1986
120	22.40	May 9, 1967	Jun 4, 1967
121	22.38	May 26, 2001	Jun 21, 2001
122	20.90	Apr 17, 1940	May 13, 1940
